순위,브랜드,모델명,세그먼트,차체유형,파워트레인유형,연료유종,최저가(만원),최고가(만원),정격효율,효율단위,baseEffCoeff,regenBonus,accelPenalty,finalEffCoeff,예상실효율,월주행거리(km),예상월비용(원),효율점수,월비용점수,회생점수,토크응답점수,컴포트점수,고속순항점수,총점,최대출력(hp),출력판정,ACC탑재,회생제동조절
43,기아,스포티지 HEV,준중형,SUV,병렬HEV,휘발유,3370,4290,16.0,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,18.36792804068597,360.4484651883339,32379.262715063407,35.0,17.84138248566244,10.0,9.0,0.0,8.0,79.84138248566244,230,출력 하한 근접,O,O
44,기아,카니발 HEV,대형,MPV,병렬HEV,휘발유,4190,5800,14.8,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,16.990333437634526,360.4484651883339,35004.608340609084,35.0,17.666359443959394,10.0,9.0,0.0,8.0,79.6663594439594,230,출력 하한 근접,O,O
45,현대,싼타페 HEV,중형,SUV,병렬HEV,휘발유,3970,5100,14.7,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,16.875533887380236,360.4484651883339,35242.73492796018,35.0,17.65048433813599,10.0,9.0,0.0,8.0,79.65048433813598,230,출력 하한 근접,O,O
46,기아,쏘렌토 HEV,중형,SUV,병렬HEV,휘발유,3990,5120,14.5,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,16.64593478687166,360.4484651883339,35728.84161662169,35.0,17.61807722555855,10.0,9.0,0.0,8.0,79.61807722555855,230,출력 하한 근접,O,O
47,현대,팰리세이드 HEV,대형,SUV,병렬HEV,휘발유,4982,6424,14.1,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,16.18673658585451,360.4484651883339,36742.42577595848,35.0,17.550504948269435,10.0,9.0,0.0,8.0,79.55050494826943,334,출력 여유 충분,O,O
48,현대,팰리세이드 HEV AWD,대형,SUV,병렬HEV,휘발유,5282,7150,11.4,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,13.087148728988755,360.4484651883339,45444.5792492118,35.0,16.970361383385878,10.0,9.0,0.0,8.0,78.97036138338588,334,출력 여유 충분,O,O
49,현대,캐스퍼,경차,SUV,가솔린터보,휘발유,1385,1960,15.1,km/L,0.842337807606264,0.0,0.0,0.842337807606264,12.719300894854586,360.4484651883339,46758.85667594707,29.48182326621924,16.882742888270194,0.0,11.25,0.0,5.0,62.61456615448944,100,출력 여유 부족 가능,X,X
50,기아,쏘렌토 디젤,중형,SUV,디젤,경유,3780,4950,13.5,km/L,0.9180201342281882,0.0,0.0,0.9180201342281882,12.39327181208054,360.4484651883339,45080.51864862034,32.13070469798659,16.994632090091976,0.0,8.25,0.0,5.0,62.37533678807856,202,출력 여유 부족 가능,O,X
51,기아,카니발 디젤,대형,MPV,디젤,경유,3688,5490,12.5,km/L,0.9180201342281882,0.0,0.0,0.9180201342281882,11.475251677852352,360.4484651883339,48686.96014050996,32.13070469798659,16.754202657299334,0.0,8.25,0.0,5.0,62.13490735528592,202,출력 여유 부족 가능,O,X
52,현대,스타리아 디젤,대형,MPV,디젤,경유,3615,5518,12.4,km/L,0.9180201342281882,0.0,0.0,0.9180201342281882,11.383449664429534,360.4484651883339,49079.59691583665,32.13070469798659,16.728026872277557,0.0,8.25,0.0,5.0,62.10873157026414,177,출력 여유 부족 가능,O,X
53,현대,쏘나타 1.6T,중형,세단,가솔린터보,휘발유,2892,3674,12.5,km/L,0.842337807606264,0.0,0.0,0.842337807606264,10.5292225950783,360.4484651883339,56484.69886454406,29.48182326621924,16.234353409030394,0.0,11.25,0.0,5.0,61.966176675249635,180,출력 여유 부족 가능,O,X
54,기아,K5 1.6T,중형,세단,가솔린터보,휘발유,2887,3674,12.5,km/L,0.842337807606264,0.0,0.0,0.842337807606264,10.5292225950783,360.4484651883339,56484.69886454406,29.48182326621924,16.234353409030394,0.0,11.25,0.0,5.0,61.966176675249635,180,출력 여유 부족 가능,O,X
55,기아,타스만 디젤,대형,픽업,디젤,경유,3740,5190,11.8,km/L,0.9180201342281882,0.0,0.0,0.9180201342281882,10.832637583892621,360.4484651883339,51575.16964037072,32.13070469798659,16.56165535730862,0.0,8.25,0.0,5.0,61.94236005529521,210,출력 하한 근접,O,X
56,기아,셀토스 1.6T,소형,SUV,가솔린터보,휘발유,2477,3584,12.3,km/L,0.842337807606264,0.0,0.0,0.842337807606264,10.360755033557048,360.4484651883339,57403.14925258543,29.48182326621924,16.173123383160974,0.0,11.25,0.0,5.0,61.904946649380214,195,출력 여유 부족 가능,O,X
57,기아,스포티지 1.6T,준중형,SUV,가솔린터보,휘발유,2970,3850,12.1,km/L,0.842337807606264,0.0,0.0,0.842337807606264,10.192287472035794,360.4484651883339,58351.961636925684,29.48182326621924,16.109869224204957,0.0,11.25,0.0,5.0,61.841692490424194,180,출력 여유 부족 가능,O,X
