speed_kmh,rpm,engine_load_pct,maf_gps,fuel_rate_lph,distance_km,speed_mps,time_s,dt_s,accel_mps2,distance_step_m,required_load_pct,power_load_deviation_pp,is_analyzable_quasi_cruise,obd_grade_class,equivalent_grade_index_pct
24.4,1737.0,50.588235294117645,14.162,2.0620927601809957,0.1782089174944445,6.777777777777777,148.0,1.0,0.26234567901234485,6.777777777777777,13.285039999999999,37.30319529411764,True,strong_uphill_or_external_load,10.658055798319326
25.833333333333332,1834.0,40.130718954248366,14.786666666666667,1.6844268476621422,0.18510050584259266,7.175925925925926,149.0,1.0,0.26234567901234573,7.175925925925926,13.651041666666664,26.4796772875817,True,strong_uphill_or_external_load,7.5656220821662
25.833333333333332,1832.5,14.640522875816993,15.395000000000001,0.6332541478129713,0.19297538848611118,7.175925925925926,150.0,1.0,0.009259259259259522,7.175925925925926,13.651041666666664,0.9894812091503287,True,normal_load,0.2827089169000939
24.5,1774.5,13.627450980392158,16.8625,0.6714536199095023,0.19936347720833342,6.805555555555555,151.0,1.0,-0.12345679012345556,6.805555555555555,13.310375,0.3170759803921577,True,normal_load,0.09059313725490219
24.5,1741.0,27.84313725490196,15.128333333333332,1.2178148567119156,0.20658169524074085,6.805555555555555,152.0,1.0,-0.15123456790123502,6.805555555555555,13.310375,14.53276225490196,True,mild_uphill_or_external_load,4.152217787114846
24.2,1749.6,31.84313725490196,14.784,1.359814479638009,0.21283418308333343,6.722222222222221,153.0,1.0,0.046296296296295836,6.722222222222221,13.23446,18.608677254901963,True,strong_uphill_or_external_load,5.316764929971989
25.0,1776.0,43.19327731092437,14.711428571428572,1.8298448610213318,0.21988702332936522,6.944444444444445,154.0,1.0,0.06481481481481488,6.944444444444445,13.4375,29.755777310924373,True,strong_uphill_or_external_load,8.501650660264106
25.2,1813.4,45.64705882352941,14.475999999999999,1.9036221719457018,0.22659195037777793,7.0,155.0,1.0,0.16666666666666785,7.0,13.48856,32.15849882352941,True,strong_uphill_or_external_load,9.188142521008404
26.0,1830.4285714285713,33.72549019607843,15.837142857142856,1.5377957336780868,0.23424751389682555,7.222222222222222,156.0,1.0,0.07407407407407351,7.222222222222222,13.693999999999999,20.031490196078433,True,strong_uphill_or_external_load,5.723282913165266
25.8,1824.6,32.86274509803921,15.206,1.441002262443439,0.24103872302222235,7.166666666666667,157.0,1.0,-0.018518518518518157,7.166666666666667,13.64246,19.220285098039213,True,strong_uphill_or_external_load,5.491510028011204
25.0,1799.2857142857142,31.092436974789912,15.15,1.3584728506787331,0.24843543831349219,6.944444444444445,158.0,1.0,-0.1481481481481488,6.944444444444445,13.4375,17.654936974789912,True,strong_uphill_or_external_load,5.044267707082832
24.4,1735.8,14.431372549019608,14.112,0.5830927601809955,0.25546685211666686,6.777777777777777,159.0,1.0,-0.3981481481481488,6.777777777777777,13.285039999999999,1.1463325490196095,False,non_analyzed,0.32752358543417415
21.5,1557.5,1.8300653594771241,13.873333333333333,0.07239630467571644,0.261894324277778,5.972222222222222,160.0,1.0,-0.47839506172839386,5.972222222222222,12.563374999999999,-10.733309640522874,False,non_analyzed,-3.06665989729225
19.833333333333332,1458.1666666666667,44.31372549019608,13.453333333333333,1.735224358974359,0.26739262390740753,5.509259259259259,161.0,1.0,-0.31481481481481577,5.509259259259259,12.160041666666666,32.15368382352941,False,non_analyzed,9.186766806722689
21.0,1535.1666666666667,71.37254901960785,12.530000000000001,2.5740780542986426,0.2728922872777779,5.833333333333333,162.0,1.0,0.13888888888888928,5.833333333333333,12.4415,58.93104901960785,False,non_analyzed,12.0
23.0,1664.4,78.90196078431373,14.87,3.3678800904977377,0.27948886985555565,6.388888888888888,163.0,1.0,0.40432098765432034,6.388888888888888,12.9335,65.96846078431373,False,non_analyzed,12.0
24.2,1755.8,62.98039215686274,15.506,2.8156493212669687,0.28580211461111127,6.722222222222221,164.0,1.0,0.3888888888888893,6.722222222222221,13.23446,49.74593215686274,False,non_analyzed,12.0
25.2,1811.2,76.0,15.23,3.331975113122172,0.2925602966611113,7.0,165.0,1.0,0.23148148148148096,7.0,13.48856,62.51144,True,strong_uphill_or_external_load,12.0
25.5,1851.0,54.31372549019608,15.813333333333333,2.464000754147813,0.2991905114259261,7.083333333333333,166.0,1.0,0.1512345679012359,7.083333333333333,13.565375,40.748350490196074,True,strong_uphill_or_external_load,11.642385854341736
25.833333333333332,1855.1666666666667,56.60130718954249,15.841666666666667,2.5749528657616896,0.306403101277778,7.175925925925926,167.0,1.0,0.07407407407407351,7.175925925925926,13.651041666666664,42.950265522875824,True,strong_uphill_or_external_load,12.0
26.0,1866.2,50.352941176470594,15.424000000000001,2.2393099547511315,0.3132829152000002,7.222222222222222,168.0,1.0,0.06172839506172867,7.222222222222222,13.693999999999999,36.65894117647059,True,strong_uphill_or_external_load,10.473983193277311
26.166666666666668,1887.1666666666667,68.10457516339869,15.786666666666667,3.119822775263952,0.3208309001712965,7.268518518518519,169.0,1.0,0.12345679012345734,7.268518518518519,13.737041666666668,54.36753349673202,True,strong_uphill_or_external_load,12.0
27.166666666666668,1949.8333333333333,66.47058823529412,19.465,3.7362575414781296,0.32818131911574094,7.546296296296297,170.0,1.0,0.18518518518518512,7.546296296296297,13.997041666666668,52.47354656862745,True,strong_uphill_or_external_load,12.0
28.0,1464.6,78.4313725490196,11.75,2.6010588235294123,0.33650823086111126,7.777777777777778,171.0,1.0,0.26234567901234485,7.777777777777778,14.216,64.2153725490196,True,strong_uphill_or_external_load,12.0
29.0,1311.5,73.23529411764706,13.3625,2.781306561085973,0.3438579714930557,8.055555555555555,172.0,1.0,0.2160493827160499,8.055555555555555,14.481499999999999,58.75379411764706,True,strong_uphill_or_external_load,12.0
29.5,1349.6666666666667,76.40522875816993,10.788333333333334,2.402860105580694,0.35216162502777787,8.194444444444445,173.0,1.0,0.18518518518518512,8.194444444444445,14.615374999999998,61.789853758169926,True,strong_uphill_or_external_load,12.0
30.0,1379.8333333333333,80.45751633986929,12.546666666666667,2.907635746606335,0.36039633108333335,8.333333333333334,174.0,1.0,0.09259259259259345,8.333333333333334,14.749999999999998,65.70751633986929,True,strong_uphill_or_external_load,12.0
30.0,1367.857142857143,57.53501400560224,11.172857142857143,1.860255332902392,0.36923308130158733,8.333333333333334,175.0,1.0,0.046296296296295836,8.333333333333334,14.749999999999998,42.78501400560224,True,strong_uphill_or_external_load,12.0
30.0,1351.5,68.23529411764706,11.515,2.2706645927601814,0.37711835094444446,8.333333333333334,176.0,1.0,-0.07936507936507908,8.333333333333334,14.749999999999998,53.48529411764706,True,strong_uphill_or_external_load,12.0
29.142857142857142,1323.0,66.21848739495799,9.537142857142857,1.8219376212023273,0.385564704170635,8.095238095238095,177.0,1.0,-0.16666666666666785,8.095238095238095,14.519673469387754,51.698813925570235,True,strong_uphill_or_external_load,12.0
28.2,1283.6,63.76470588235294,9.322,1.7145746606334842,0.39367609410000004,7.833333333333333,178.0,1.0,-0.18518518518518512,7.833333333333333,14.26886,49.49584588235294,True,strong_uphill_or_external_load,12.0
28.0,1277.3333333333333,80.58823529411765,10.515,2.4502846907993967,0.40080288922222224,7.777777777777778,179.0,1.0,-0.04409171075837737,7.777777777777778,14.216,66.37223529411766,True,strong_uphill_or_external_load,12.0
